Perturbation,nAcid,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nSpiro,nBridgehead,nHetero,BertzCT,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,PNSA1,PPSA1,DPSA1,FNSA1,FPSA1,WNSA1,WPSA1,RNCG,RPCG,RNCS,RPCS,TASA,TPSA,RASA,RPSA,HybRatio,FCSP3,AETA_beta,ETA_beta_s,AETA_beta_s,ETA_beta_ns,AETA_beta_ns,ETA_beta_ns_d,AETA_beta_ns_d,ETA_eta,AETA_eta,ETA_eta_L,AETA_eta_L,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,nRot,RotRatio,SLogP,SMR,TopoPSA,GGI1,GGI2,Vabc,MW,AMW,WPath,WPol,Zagreb1,dG_exp
14>04,0.0,0.0,0.0,0.0,-4.0,-2.0,0.0,0.0,0.0,-67.54200802879836,-5.0,-3.0,-5.0,0.0,0.0,0.0,0.0,-5.0,0.0,-42.218308361990864,-43.70788714405978,-1.4895787820689184,-0.005222705638482261,0.005222705638481928,-82.81062413582578,-97.40182887982668,0.008844072662956505,0.00496634789453973,-13.987943155063649,-4.622426505920089,-85.52957729980756,-0.3966182062430335,-0.008831743115697677,0.00883174311569744,-0.07222222222222219,-0.07777777777777778,0.039130434782608685,-1.5,-0.009565217391304335,0.0,0.04869565217391303,0.0,0.0017391304347826075,-3.023737961737311,-0.053240562563462664,-1.0176380902050424,-0.02197404589901608,-65.00000000000001,-0.05175983436852999,0.0,0.0,-4.673586,-2.0064139999999995,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.022857142857142854,-0.3901000000000008,-7.049999999999998,7.105427357601002e-15,-0.5,-0.055555555555555365,-22.235511499972745,-26.015650064000052,0.11378217527140765,-271.0,-2.0,-16.0,0.15
15>13,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,141.681722786009,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.27032309328285,-2.258333141570006,-21.528656234852857,0.013151333800482999,-0.013151333800483056,25.254912049662096,8.397132424487609,-0.013069787125076645,-0.0077710742692110035,17.015647415109868,7.913889704817848,16.648216383782255,0.36377356793070703,0.00204989126507249,-0.0020498912650723233,0.0,-0.0146198830409357,0.07000000000000006,1.25,-0.003043478260869481,3.0,0.07304347826086954,0.0,0.0,1.3715959289205202,-0.010125946035308251,0.21742154425523186,-0.010822994341787129,14.009999999999993,-0.011074197120708729,1.0,0.0,2.1032070000000047,-0.43320699999999945,0.0,0.0,0.0,0.0,0.0,0.0,-0.008241758241758254,-0.12831999999999974,4.714999999999988,23.789999999999992,1.0,0.22222222222222232,23.01982792609357,24.995248968000002,0.4112099219312899,312.0,4.0,10.0,0.0
15>19,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,57.762104448629096,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,30.704392181370906,46.33008456151732,15.625692380146404,0.0026963525010229587,-0.0026963525010228477,59.78421919111036,97.22432000930631,-0.0025692935315604908,-0.001490743768584768,6.407677956594143,1.4584527048855591,72.96074847523437,4.073728267654076,0.006461275354977536,-0.0064612753549771204,0.03508771929824561,0.03801169590643272,-0.03125,0.5,-0.006793478260869512,0.0,-0.024456521739130488,0.0,0.0,2.18719581827504,0.057284313682226085,0.3537228658317861,0.004571861017992979,7.0,-0.031746031746031744,0.0,0.0,3.0035859999999985,2.0064139999999995,0.0,0.0,0.0,0.0,0.0,0.0,-0.004273504273504286,0.3084199999999986,4.7369999999999814,1.4210854715202004e-14,1.0,0.22222222222222232,17.295985223857315,14.015650064000056,-0.1760892646858565,144.0,2.0,6.0,-0.05
15>24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.41407717809568,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.96386372009107,-25.362018495385318,-58.325882215476376,0.030577228926126517,-0.030577228926126576,35.26882609650818,-20.302870277616197,-0.0020510247489562983,-0.0011886185973215002,3.1640486108080097,1.160676606993377,7.45732483383108,0.1445203908747601,0.0009429699676393176,-0.0009429699676392901,0.0,0.0,0.0,0.75,0.003623188405797117,0.5,-0.003623188405797117,0.5,0.02083333333333333,1.5902917480042085,0.03241331075427478,0.24152557657306065,-0.000103026034453918,7.009999999999992,0.0,0.0,0.0,1.5132070000000013,-0.4932070000000017,0.0,0.0,0.0,0.0,0.0,0.0,-0.004273504273504286,0.6533999999999998,5.010000000000005,0.0,1.0,0.22222222222222232,15.211068029906187,33.96102764799997,0.8085958963809521,144.0,2.0,6.0,-0.91
16>04,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-28.160660279870967,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-36.893918450289156,-27.99832603947175,8.895592410817414,-0.008701702950390633,0.008701702950390189,-67.23256963648225,-67.50057392504277,0.006254323785102628,0.0034825219724513024,-10.445739475920305,-3.2119490603067504,-70.68084453903577,5.788600049274976,-0.012487636775658784,0.012487636775658464,-0.03801169590643272,-0.04093567251461988,0.030797101449275388,-0.5,0.0054347826086956754,0.0,0.025362318840579712,0.0,0.000905797101449276,-2.6900578300769884,-0.0768206617188173,-0.386425950835279,-0.0063451033112691116,-5.0,0.026984126984127,0.0,0.0,-3.0035859999999985,-2.0064139999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0046153846153846045,-0.24600000000000002,-4.547000000000012,0.0,-0.5,-0.22222222222222232,-17.295985223857315,-14.015650064000056,0.20936827846363396,-114.0,-3.0,-6.0,0.2
16>10,0.0,0.0,0.0,0.0,-6.0,-2.0,0.0,0.0,0.0,-43.363227571759694,-6.0,-2.0,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0,-79.30345245975906,-54.413884268406036,24.88956819135302,-0.02274870751543984,0.022748707515439448,-136.38002656768015,-132.04876529185898,0.013667516024102709,0.007487463773022784,11.135600102892028,-6.744030095356437,-145.41050879326838,11.693172065103509,-0.027371792827171396,0.0273717928271712,-0.08049535603715169,-0.08668730650154796,0.06439393939393945,-1.0,0.011363636363636355,0.0,0.05303030303030298,0.0,0.0018939393939393962,-4.660284389786452,-0.12790541675900324,-0.9554615445641286,-0.02156747250963409,-10.0,0.058119658119658135,0.0,0.0,-6.007171999999998,-4.012827999999999,0.0,0.0,0.0,0.0,0.0,-1.0,-0.03205128205128206,-0.636099999999999,-9.164000000000016,-7.105427357601002e-15,-0.5,-0.22222222222222232,-34.591970447714736,-28.03130012800011,0.4509470613062891,-226.0,-6.0,-10.0,0.48
17>13,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.1182986678823,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-67.07383058770006,39.38972133570656,106.4635519234066,-0.05530334464606157,0.05530334464606157,-79.11645985343472,23.11613106793436,-0.007990121886297219,-0.004806648640322847,11.172241953645596,4.986671312439455,-52.945226576005666,25.26111732401215,-0.0284065949830804,0.028406594983080458,0.017543859649122806,0.01315789473684209,0.020000000000000014,0.5,0.020000000000000014,0.0,0.0,0.0,0.0,-0.29389659078008634,-0.0117558636312034,-0.08024288894035791,-0.0032097155576143177,0.009999999999990905,0.010570824524312905,1.0,0.0,-1.2367929999999987,0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6049999999999991,-2.2050000000000125,12.889999999999983,0.0,0.0,-6.299224626137459,0.9952489679999984,0.19817457306558686,0.0,0.0,0.0,0.44
17>18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,41.58854168556024,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,-10.562069653774929,93.74224867716907,104.304318330944,-0.04179837080105642,0.04179837080105686,24.96492501673481,152.51639444408056,-0.006029370930561967,-0.0036104178456445313,14.043622712180793,3.716666270286765,54.256571105756166,28.923607917638027,-0.01775440817875551,0.017754408178755926,0.05263157894736842,0.0357142857142857,-0.05961538461538464,0.75,0.00423076923076926,-1.0,-0.06384615384615389,0.0,0.0,2.0926911097432424,0.04918034239406677,0.4073122667195905,0.006574128619377256,7.0,-0.029013539651837505,0.0,0.0,3.0035859999999985,2.576414,0.0,0.0,0.0,0.0,0.0,0.0,-0.003694581280788173,-0.1052800000000007,5.631999999999992,-10.899999999999993,0.0,-4.440892098500626e-16,17.295985223857315,14.015650064000056,-0.18219410547788684,193.0,1.0,4.0,-1.487
18>13,0.0,0.0,0.0,0.0,-4.0,-1.0,0.0,0.0,1.0,-39.47024301767794,-4.0,-1.0,-4.0,0.0,0.0,0.0,0.0,-4.0,0.0,-56.51176093392513,-54.352527341462526,2.1592335924626127,-0.013504973845005151,0.013504973845004709,-104.08138487016953,-129.4002633761462,-0.001960750955735252,-0.0011962307946783155,-2.8713807585351963,1.2700050421526896,-107.20179768176183,-3.662490593625876,-0.010652186804324892,0.010652186804324532,-0.03508771929824561,-0.022556390977443608,0.07961538461538464,-0.25,0.01576923076923076,1.0,0.06384615384615389,0.0,0.0,-2.3865877005233287,-0.060936206025270175,-0.4875551556599485,-0.009783844176991574,-6.990000000000008,0.03958436417615041,1.0,0.0,-4.240378999999997,-2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003694581280788173,-0.4997199999999984,-7.837000000000002,23.789999999999978,0.0,4.440892098500626e-16,-23.59520984999477,-13.020401096000054,0.3803686785434737,-193.0,-1.0,-4.0,1.927
18>17,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-41.58854168556024,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,10.562069653774929,-93.74224867716907,-104.304318330944,0.04179837080105642,-0.04179837080105686,-24.96492501673481,-152.51639444408056,0.006029370930561967,0.0036104178456445313,-14.043622712180793,-3.716666270286765,-54.256571105756166,-28.923607917638027,0.01775440817875551,-0.017754408178755926,-0.05263157894736842,-0.0357142857142857,0.05961538461538464,-0.75,-0.00423076923076926,1.0,0.06384615384615389,0.0,0.0,-2.0926911097432424,-0.04918034239406677,-0.4073122667195905,-0.006574128619377256,-7.0,0.029013539651837505,0.0,0.0,-3.0035859999999985,-2.576414,0.0,0.0,0.0,0.0,0.0,0.0,0.003694581280788173,0.1052800000000007,-5.631999999999992,10.899999999999993,0.0,4.440892098500626e-16,-17.295985223857315,-14.015650064000056,0.18219410547788684,-193.0,-1.0,-4.0,1.487
18>19,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-123.38986135505785,-2.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-45.07769184583708,-5.764109638375203,39.313582207461884,-0.0239599551444652,0.023959955144464917,-69.55207772872126,-40.573075791327476,0.0085397426377809,0.005084099705947921,-13.47935021705092,-5.185431957779599,-50.88926559030971,0.04746410609749319,-0.006240802714419846,0.006240802714419735,0.0,0.030075187969924814,-0.02163461538461542,-1.0,0.012019230769230728,-2.0,-0.033653846153846145,0.0,0.0,-1.5709878111688091,0.00647405369226417,-0.35125383408339417,0.0056110111827885325,-14.0,0.0189125295508274,0.0,0.0,-3.3400000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007662835249042141,-0.06298000000000004,-7.815000000000013,0.0,0.0,4.440892098500626e-16,-29.31905255223103,-24.0,-0.20693050807367275,-361.0,-3.0,-8.0,1.877
19>13,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,1.0,83.91961833737992,-2.0,1.0,-3.0,0.0,1.0,0.0,1.0,-3.0,0.0,-11.434069088088052,-48.58841770308732,-37.15434861499927,0.010454981299460042,-0.010454981299460207,-34.52930714144827,-88.82718758481873,-0.01050049359351615,-0.0062803305006262355,10.607969458515726,6.455436999932289,-56.31253209145211,-3.7099546997233688,-0.004411384089905046,0.004411384089904796,-0.03508771929824561,-0.05263157894736842,0.10125000000000006,0.75,0.003750000000000031,3.0,0.09750000000000003,0.0,0.0,-0.8155998893545195,-0.06741025971753434,-0.13630132157655428,-0.01539485535978011,7.009999999999992,0.020671834625323016,1.0,0.0,-0.9003789999999938,-2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.003968253968253968,-0.4367399999999984,-0.02199999999999136,23.789999999999978,0.0,0.0,5.723842702236254,10.979598903999944,0.5872991866171464,168.0,2.0,4.0,0.05
19>15,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-57.762104448629096,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-30.704392181370906,-46.33008456151732,-15.625692380146404,-0.0026963525010229587,0.0026963525010228477,-59.78421919111036,-97.22432000930631,0.0025692935315604908,0.001490743768584768,-6.407677956594143,-1.4584527048855591,-72.96074847523437,-4.073728267654076,-0.006461275354977536,0.0064612753549771204,-0.03508771929824561,-0.03801169590643272,0.03125,-0.5,0.006793478260869512,0.0,0.024456521739130488,0.0,0.0,-2.18719581827504,-0.057284313682226085,-0.3537228658317861,-0.004571861017992979,-7.0,0.031746031746031744,0.0,0.0,-3.0035859999999985,-2.0064139999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504286,-0.3084199999999986,-4.7369999999999814,-1.4210854715202004e-14,-1.0,-0.22222222222222232,-17.295985223857315,-14.015650064000056,0.1760892646858565,-144.0,-2.0,-6.0,0.05
19>18,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,123.38986135505785,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,45.07769184583708,5.764109638375203,-39.313582207461884,0.0239599551444652,-0.023959955144464917,69.55207772872126,40.573075791327476,-0.0085397426377809,-0.005084099705947921,13.47935021705092,5.185431957779599,50.88926559030971,-0.04746410609749319,0.006240802714419846,-0.006240802714419735,0.0,-0.030075187969924814,0.02163461538461542,1.0,-0.012019230769230728,2.0,0.033653846153846145,0.0,0.0,1.5709878111688091,-0.00647405369226417,0.35125383408339417,-0.0056110111827885325,14.0,-0.0189125295508274,0.0,0.0,3.3400000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007662835249042141,0.06298000000000004,7.815000000000013,0.0,0.0,-4.440892098500626e-16,29.31905255223103,24.0,0.20693050807367275,361.0,3.0,8.0,-1.877
19>22,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,16.634767846307568,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,11.642613318167605,33.46484474933061,21.822231431163004,-0.0043421921163418475,0.004342192116342014,30.215489675169355,67.2302100330694,0.09880871711375253,-0.015324181845871919,-128.25340288699078,16.73787039209904,50.49863140519074,-5.391173337692522,0.01041656689231818,-0.010416566892318109,-0.01842105263157895,-0.01578947368421052,-0.008750000000000036,0.5,-0.006249999999999978,0.5,-0.0024999999999999467,0.5,0.02,0.6604927045407472,-0.008366555961723643,0.17421864484023875,-0.00297405670310838,7.0,-0.0189125295508274,0.0,0.0,2.0387929999999983,1.5992069999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.031746031746031744,0.30518,4.020000000000009,-3.6600000000000112,0.0,-4.440892098500626e-16,15.089451577627985,14.999665652000035,0.015434032584312085,168.0,2.0,4.0,-0.55
19>24,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,1.0,5.651972729466594,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,2.259471538720163,-71.69210305690262,-73.9515745956228,0.02788087642510356,-0.027880876425103732,-24.51539309460219,-117.52719028692252,0.0005182687826041921,0.00030212517126326777,-3.2436293457861325,-0.2977760978921822,-65.50342364140329,-3.929207876779316,-0.005518305387338218,0.00551830538733783,-0.03508771929824561,-0.03801169590643272,0.03125,0.25,0.01041666666666663,0.5,0.02083333333333337,0.5,0.02083333333333333,-0.5969040702708313,-0.024871002927951302,-0.11219728925872552,-0.004674887052446897,0.009999999999990905,0.031746031746031744,0.0,0.0,-1.4903789999999972,-2.4996210000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3449800000000012,0.27300000000002456,-1.4210854715202004e-14,0.0,0.0,-2.084917193951128,19.945377583999914,0.9846851610668086,0.0,0.0,0.0,-0.86
19>26,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,1.0,5.651972729466594,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-20.25947541833636,-66.49495502230208,-46.2354796039657,0.011682172046772521,-0.011682172046772688,-53.08990527770442,-122.88619940589079,-0.00985348266420219,-0.0058843757794593545,8.664914922988771,6.032876272977518,-131.68793129576943,44.93350085513095,-0.05835790968260635,0.05835790968260604,-0.03508771929824561,-0.03801169590643272,0.03125,0.25,0.01041666666666663,0.5,0.02083333333333337,0.5,0.02083333333333333,-1.2232566167449797,-0.05096902569770745,-0.21364920080687355,-0.00890205003361974,0.009999999999990905,0.031746031746031744,0.0,0.0,-3.113379000000002,-1.896621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16931999999999947,-4.7789999999999955,-1.4210854715202004e-14,0.0,0.0,-11.228426270049567,3.974928123999917,0.6044363644001409,0.0,0.0,0.0,-0.27
19>36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.117594490790225,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-52.06921902993838,68.27162645452574,120.34084548446413,-0.053986885442218635,0.053986885442218635,-49.670101099958345,84.2038513016753,0.08348771544246766,-0.02052992247328811,-122.07917166564451,23.262397307263054,-3.8314524770171374,20.033859901604444,-0.016618079567570554,0.0166180795675705,0.0,0.0,0.01124999999999998,1.0,0.01375000000000004,0.5,-0.0024999999999999467,0.5,0.02,0.35222846027055965,-0.02069712573253124,0.09418101883765306,-0.0061755617432118215,7.009999999999992,-0.009661835748792258,1.0,0.0,0.8019999999999996,1.7360000000000009,0.0,0.0,0.0,0.0,0.0,1.0,0.031746031746031744,-0.2998199999999989,1.8149999999999975,9.229999999999976,0.0,-4.440892098500626e-16,8.790226951490524,15.994914619999975,0.19256046868980992,168.0,2.0,4.0,-0.55
21>32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.6237172338301207,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.23143715789581,-45.15383097408176,-119.38526813197755,0.05942672456465015,-0.059426724564650264,90.13637701168742,-29.65876564776022,0.003892938422420223,0.002439528147185732,-4.4374589165952045,-2.6948993908820564,54.18702833879979,-25.10942215498558,0.02760891352695527,-0.027608913526955232,-0.006493506493506496,-0.004329004329004321,-0.01923076923076916,-0.5,-0.019230769230769273,0.0,0.0,0.0,0.0,0.27783115588768936,0.010685813687988044,0.08072791517206658,0.0031049198143102423,-0.010000000000019328,-0.011111111111111072,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050000000000002,2.2049999999999983,-12.889999999999993,0.0,0.0,6.299224626137517,-0.9952489679999984,-0.18741137256429494,0.0,0.0,0.0,1.09
22>19,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-16.634767846307568,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,-11.642613318167605,-33.46484474933061,-21.822231431163004,0.0043421921163418475,-0.004342192116342014,-30.215489675169355,-67.2302100330694,-0.09880871711375253,0.015324181845871919,128.25340288699078,-16.73787039209904,-50.49863140519074,5.391173337692522,-0.01041656689231818,0.010416566892318109,0.01842105263157895,0.01578947368421052,0.008750000000000036,-0.5,0.006249999999999978,-0.5,0.0024999999999999467,-0.5,-0.02,-0.6604927045407472,0.008366555961723643,-0.17421864484023875,0.00297405670310838,-7.0,0.0189125295508274,0.0,0.0,-2.0387929999999983,-1.5992069999999998,0.0,0.0,0.0,0.0,0.0,-1.0,-0.031746031746031744,-0.30518,-4.020000000000009,3.6600000000000112,0.0,4.440892098500626e-16,-15.089451577627985,-14.999665652000035,-0.015434032584312085,-168.0,-2.0,-4.0,0.55
22>36,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.4828266444826568,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-63.71183234810599,34.80678170519513,98.51861405330112,-0.04964469332587679,0.04964469332587662,-79.88559077512771,16.973641268605892,-0.015321001671284862,-0.005205740627416189,6.174231221346303,6.524526915164017,-54.33008388220787,25.425033239296965,-0.02703464645988873,0.02703464645988861,0.01842105263157895,0.01578947368421052,0.020000000000000014,0.5,0.020000000000000014,0.0,0.0,0.0,0.0,-0.3082642442701875,-0.012330569770807598,-0.08003762600258567,-0.0032015050401034413,0.009999999999990905,0.009250693802035135,1.0,0.0,-1.2367929999999987,0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6049999999999989,-2.2050000000000125,12.889999999999983,0.0,0.0,-6.299224626137459,0.9952489679999416,0.17712643610549786,0.0,0.0,0.0,0.0
23>28,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,-5.86882973166655,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.6074176743663315,73.79458567090012,76.40200334526645,-0.03004829509367352,0.030048295093673905,28.567278817592467,123.24924255992846,-0.0004089352317538375,-0.0002609232878366119,-14.671699892170752,0.2975055595536844,69.33373305067073,1.8534349458628296,0.007076908065242304,-0.007076908065242166,0.038961038961038974,0.04112554112554112,-0.027777777777777683,-0.25,-0.0092592592592593,-0.5,-0.01851851851851849,-0.5,-0.018518518518518517,0.6039615022084348,0.02236894452623828,0.11219728925872552,0.004155455157730581,-0.009999999999990905,-0.03194444444444438,0.0,0.0,1.4903789999999972,2.4996210000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3449800000000021,-0.2729999999999961,1.4210854715202004e-14,0.0,-8.881784197001252e-16,2.084917193951128,-19.945377583999857,-0.9393014292445674,0.0,0.0,0.0,0.93
23>30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,81.30366798603302,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-13.172204387890927,23.694270357747197,36.86647474563813,-0.016980426814096727,0.016980426814096842,-9.068369244547682,30.869813898709026,-0.008754928252770994,-0.005700706132885508,9.179304999426108,6.747077617247015,9.365399893048448,1.1566660768077952,0.00025922545778900297,-0.0002592254577889197,0.0,-0.004329004329004321,0.057539682539682564,0.5,-0.005291005291005235,2.5,0.0628306878306879,-0.5,-0.018518518518518517,-0.2210612271717025,-0.035270654145375,-0.02410403231782876,-0.00802788161549678,7.0,-0.011111111111111072,1.0,0.0,0.5900000000000034,0.060000000000002274,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032258064516129115,-0.7817200000000004,-0.2950000000000017,23.789999999999992,0.0,0.0,7.808759896187439,-8.96577867999997,-0.3770900511575306,202.0,2.0,4.0,0.99
23>31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.06074992348147,8.598917657248307,32.65966758072977,-0.017173331879698158,0.017173331879698273,-31.256865121362978,-0.3778870331467488,-0.008237305326393746,-0.005356845325405314,-4.045582543578121,6.3249007985635615,-65.89193147468688,50.43009920845356,-0.05173670783819151,0.0517367078381914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6339727724729656,-0.023480473054554363,-0.10145191154814713,-0.0037574782054869142,0.0,0.0,0.0,0.0,-1.6229999999999976,0.6030000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5143000000000002,-5.0519999999999925,0.0,0.0,0.0,-9.14350907609844,-15.970449459999998,-0.354898876888889,0.0,0.0,0.0,0.7
23>35,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-65.22577787594707,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.488071465719315,4.9277773593421434,14.415848825061461,-0.007341912981535914,0.0073419129815360815,-11.750425326869507,2.3703955707616156,0.0002224671796009769,0.00014173087530600093,-7.635115954816655,-0.16116507108617384,4.561430291138322,-9.121724397515552,0.008286614824591476,-0.008286614824591365,0.0,0.0,0.005341880341880323,-0.75,-0.0039173789173788665,-0.5,0.0092592592592593,-0.5,-0.018518518518518517,-1.6316221076027055,-0.03327326995015045,-0.2423409845460771,-0.0016024742934613867,-7.009999999999992,0.0,0.0,0.0,-1.5132070000000013,0.4932070000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689585,-0.6534000000000002,-5.010000000000005,0.0,-1.0,-0.22222222222222232,-15.211068029906302,-33.96102764799997,-0.7546895032888887,-175.0,-2.0,-6.0,1.82
24>02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.4068602316300485,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.22544736658085,-33.24763729481504,-91.47308466139587,0.04780244446612625,-0.04780244446612636,68.66950210917332,-18.681251559415838,0.00911029987053727,0.005195730550277722,-3.2665498048688453,-4.950551027479406,43.88049037424128,-18.902680302475176,0.02212491603806044,-0.02212491603806023,-0.017543859649122806,-0.0146198830409357,-0.02083333333333326,-0.5,-0.02083333333333326,0.0,0.0,0.0,0.0,0.2992735714927015,0.012469732145529266,0.0800376260025848,0.0033349010834410327,-0.009999999999990905,-0.011074197120708729,-1.0,0.0,1.2367929999999987,-0.13679299999999728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,2.2049999999999983,-12.889999999999993,0.0,0.0,6.299224626137459,-0.9952489679999416,-0.2120248183566389,0.0,0.0,0.0,-0.14
24>12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,24.952192079634532,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,94.12833320682364,-57.42848578233645,-151.5568189891601,0.07780239510726789,-0.07780239510726794,110.68986843608906,-36.81203281279818,0.010908963846223365,0.006196441456542161,-6.074627426670588,-5.868498707011554,57.51876969797401,-20.818922273486663,0.025350259198347325,-0.025350259198347186,-0.017543859649122806,-0.0146198830409357,-0.020000000000000014,0.25,-0.01666666666666661,0.5,-0.0033333333333334107,0.5,0.01916666666666667,2.0359636306221915,0.04764712119865211,0.3208729134061654,0.003079109521626572,7.0,-0.011074197120708729,-1.0,0.0,2.75,-0.629999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.003968253968253968,1.2584000000000006,7.2150000000000025,-12.889999999999993,1.0,0.0,21.51029265604365,32.965778679999964,0.5777665222945227,148.0,2.0,6.0,-0.4
24>15,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-63.41407717809568,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.96386372009107,25.362018495385318,58.325882215476376,-0.030577228926126517,0.030577228926126576,-35.26882609650818,20.302870277616197,0.0020510247489562983,0.0011886185973215002,-3.1640486108080097,-1.160676606993377,-7.45732483383108,-0.1445203908747601,-0.0009429699676393176,0.0009429699676392901,0.0,0.0,0.0,-0.75,-0.003623188405797117,-0.5,0.003623188405797117,-0.5,-0.02083333333333333,-1.5902917480042085,-0.03241331075427478,-0.24152557657306065,0.000103026034453918,-7.009999999999992,0.0,0.0,0.0,-1.5132070000000013,0.4932070000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504286,-0.6533999999999998,-5.010000000000005,0.0,-1.0,-0.22222222222222232,-15.211068029906187,-33.96102764799997,-0.8085958963809521,-144.0,-2.0,-6.0,0.91
